addr_of_building_in_chn,addr_of_building_in_eng,name_of_ocomm_in_chn,name_of_ocomm_in_eng
新界屯門區龍鼓灘D.D.137 LOT 149號龍濤灣畔,"Dragon Cove, NO.D.D.137 LOT 149, LUNG KWU TAN, TUEN MUN, NEW TERRITORIES",龍濤灣畔業主委員會,DRAGON COVE OWNERS' COMMITTEE
新界屯門區TMTL432海珠路2號海典軒1座,"TOWER 1, OCEANIA HEIGHTS, NO.2, HOI CHU ROAD, TMTL432, TUEN MUN, NEW TERRITORIES",海典軒業主委員會,OCEANIA HEIGHTS OWNERS' COMMITTEE
新界大埔區圍頭村DD7號康樂花園一座,"BLOCK 1, BLOCK 1, NO.DD7, WAI TAU TSUEN, HONG LOK VILLA, TAI PO, NEW TERRITORIES",康樂花園業主委員會,HONG LOK VILLA OWNERS' COMMITTEE
新界大埔區新屋家村庭峰居第1座,"BLOCK 1, BLOCK 1, SAN UK KA, TIFFANY COURT, TAI PO, NEW TERRITORIES",庭峰居業主委員會,TIFFANY COURT OWNER'S COMMITTEES
新界大埔區大埔公路4339號滌濤山一號屋,"HOUSE 1, HOUSE 1, NO.4339, TAI PO ROAD, CONSTELLATION COVE, TAI PO, NEW TERRITORIES",滌濤山業主委員會,CONSTELLATION COVE OWNER'S COMMITTEE
新界大埔區承峰1座,"THE BALMORAL, TOWER 1, THE BALMORAL, TAI PO, NEW TERRITORIES",承峰業主委員會,THE BALMORAL OWNER'S COMMITTEE
新界荃灣區深慈街8號縉皇居第一座,"Ocean Pointe Tower 1, NO.8, SHAM TSZ STREET, OCEAN POINTE, TSUEN WAN, NEW TERRITORIES",縉皇居業主委員會,OCEAN POINTE OWNERS' COMMITTEE
九龍黃大仙區龍翔道120號新光中心第一座,"Hsin Kuang Centre Block 1, NO.120, LUNG CHEUNG ROAD, HSIN KUANG CENTRE, WONG TAI SIN, KOWLOON",新光中心業主委員會,HSIN KUANG CENTRE OWNERS' COMMITTEE
新界元朗區錦田祠堂村255號美景居,"Good View Court, NO.255, KAM TIN, TSZ TONG TSUEN, YUEN LONG, NEW TERRITORIES",美景居業主委員會,OWNERS' COMMITTEE OF GOOD VIEW COURT
新界元朗區石埔村178B號富茵雅苑,"Greenville Park, NO.178B, SHEK PO TSUEN, YUEN LONG, NEW TERRITORIES",富茵雅苑業主委員會,OWNERS' COMMITTEE OF GREENVILLE PARK
新界元朗區馬田路80號御庭居第1座,"TOWER 1, NO.80, MA TIN ROAD, SPRINGDALE VILLAS, YUEN LONG, NEW TERRITORIES",御庭居業主委員會,SPRINGDALE VILLAS OWNERS' COMMITTEE
"新界元朗區田廈路, 廈村鄉新生村100號富安花園第一座","Block 1, NO.100, TIN HA ROAD, HA TSUEN, SAN SANG TSUEN, GALORE GARDEN, YUEN LONG, NEW TERRITORIES",富安花園業主委員會,OWNERS' COMMITTEE OF GALORE GARDEN
新界元朗區錦田吉慶圍350號怡翠花園A座,"BLOCK A, Block A, NO.350, KAM TIN, KAT HING WAI, GREENVIEW GARDEN, YUEN LONG, NEW TERRITORIES",怡翠花園第2期(A-E座)業主委員會,OWNERS' COMMITTEE OF GREENVIEW GARDEN PHRASE II(BLOCK A-E)
新界元朗區錦田吉慶圍350號怡翠花園F座,"BLOCK F, Block F, NO.350, KAM TIN, KAT HING WAI, GREENVIEW GARDEN, YUEN LONG, NEW TERRITORIES",怡翠花園第1期(F-O座)業主委員會,OWNERS' COMMITTEE OF GREENVIEW GARDEN PHRASE I(BLOCK F-O)
九龍深水埗區深盛路8號碧海藍天第六座,"Aqua Marine Block 6, NO.8, SHAM SHING ROAD, AQUA MARINE, SHAM SHUI PO, KOWLOON",碧海藍天業主委員會,THE OWNERS' COMMITTEE OF AQUAMARINE
九龍深水埗區元州街362號尚南天,"Southern Lodge, NO.362, UN CHAU STREET, SHAM SHUI PO, KOWLOON",尚南天業主委員會,OWNERS' COMMITTEE OF SOUTHERN LODGE
九龍深水埗區景荔徑8號盈暉臺第一座,"Nob Hill Tower 1, NO.8, KING LAI PATH, NOB HILL, SHAM SHUI PO, KOWLOON",盈暉臺業主委員會,NOB HILL OWNERS' COMMITTEE
新界元朗區鳳翔路100號朗晴居第一座,"Grand Del Sol Block 1, NO.100, FUNG CHEUNG ROAD, GRAND DEL SOL, YUEN LONG, NEW TERRITORIES",朗晴居業主委員會,GRAND DEL SOL OWNERS' COMMITTEE
新界西貢區唐德街9號將軍澳中心 (商場),"Park Central Commercial Centre, NO.9, TONG TAK STREET, PARK CENTRAL, SAI KUNG, NEW TERRITORIES",將軍澳中心57地段業主委員會,OWNERS' COMMITTEE OF LOT 57 PARK CENTRAL
新界西貢區培成路15號第1座蔚藍灣畔第1座,"BLOCK 1, Residence Oasis Tower 1, NO.15, PUI SHING ROAD, RESIDENCE OASIS, SAI KUNG, NEW TERRITORIES",蔚藍灣畔業主附屬委員會,OWNERS SUB-COMMITTEE OF RESIDENCE OASIS
九龍深水埗區北河街183號富匯居,"Court Regence, NO.183, PEI HO STREET, 1657, NKIL, SHAM SHUI PO, KOWLOON",富匯居業主委員會,COURT REGENCE OWNER'S COMMITTEE
九龍深水埗區青山道489-491號香港工業中心A座,"BLOCK A, HONG KONG INDUSTRIAL CENTRE, NO.489-491, CASTLE PEAK ROAD, SHAM SHUI PO, KOWLOON",香港工業中心A座業主委員會,HONG KONG INDUSTRIAL CENTER BLOCK A OWNERS' COMMITTEE
新界葵青區青敬路2號青逸軒第一座,"BLOCK 1, Block 1, NO.2, TSING KING ROAD, EASEFUL COURT, KWAI TSING, NEW TERRITORIES",青逸軒業主委員會,EASEFUL COURT OWNERS' COMMITTEE
香港南區大潭道20號玫瑰園1座,"BLOCK 1, ROSECLIFF, NO.20, TAI TAM ROAD, SOUTHERN, HONG KONG",玫瑰園業主委員會,ROSECLIFF OWNERS' COMMITTEE
九龍黃大仙區豐盛街51號峻弦第一座,"BLOCK ONE, BLOCK ONE, NO.51, FUNG SHING STREET, ARIA, WONG TAI SIN, KOWLOON",峻弦業主委員會,ARIA OWNERS' COMMITTEE
香港島灣仔區大坑道11號上林上林第一座第一座.,"Serenade Tower 1, NO.11, TAI HANG ROAD, SERENADE, WAN CHAI, HONG KONG",上林業主委員會,SERENADE OWNERS' COMMITTEE
香港島南區壽山村道57號南源,"NO.57, SHOUSON HILL ROAD, BAY VILLAS, SOUTHERN, HONG KONG",南源業主委員會,BAY VILLAS OWNERS' COMMITTEE
新界沙田區樂楓徑9-11號怡翠花園第一座,"BLOCK 1, Block 1, NO.9-11, LOK FUNG PATH, EDEN GARDENS, SHA TIN, NEW TERRITORIES",怡翠花園業主委員會,EDEN GARDENS OWNERS' COMMITTEE
香港島南區白筆山道18號紅山半島第四期第1座,"PHASE IV, Block 1, NO.18, PAK PAT SHAN ROAD, REDHILL PENINSULA, SOUTHERN, HONG KONG",紅山半島業主委員會,REDHILL PENINSULA OWNERS' COMMITTEE
九龍油尖旺區太子道西171號別樹一居,"Bijou Court, NO.171, PRINCE EDWARD ROAD WEST, YAU TSIM MONG, KOWLOON",別樹一居業主委員會,
九龍油尖旺區洗衣街193-199號蕙逸居,"Sunningdale, NO.193-199, SAI YEE STREET, YAU TSIM MONG, KOWLOON",蕙逸居業主委員會,SUNNINGDALE OWNERS' COMMITTEE
九龍油尖旺區太子道西157號別樹華軒,"Bijou Apartments, NO.157, PRINCE EDWARD ROAD WEST, YAU TSIM MONG, KOWLOON",別樹華軒業主委員會,BIJOU APARTMENTS OWNERS' COMMITTEE OWNERS COMMITTEE
新界西貢區康城路1號首都 (日出康城第一期)首都第一座,"The Capitol Tower 1, NO.1, LOHAS PARK ROAD, THE CAPITOL (LOHAS PARK PHASE I), SAI KUNG, NEW TERRITORIES",首都業主附屬委員會,THE CAPITOL OWNERS SUB-COMMITTEE
新界西貢區日出康城康城路1號領都第一座,"Le Prestige Tower 1 (L: Moonlight; R: Mona Lisa), NO.1, LOHAS PARK ROAD,LOHAS PARK, LE PRESTIGE, SAI KUNG, NEW TERRITORIES",領都業主附屬委員會,LE PRESTIGE OWNERS SUB-COMMITTEE
新界沙田區車公廟路8號溱岸8號第一座,"Tower 1, NO.8, CHE KUNG MIU ROAD, THE RIVERPARK, SHA TIN, NEW TERRITORIES",溱岸8號業主委員會,THE RIVERPARK OWNERS COMMITTEE
新界屯門區屯門鄉事會路83號瓏門摩天瓏(第一座),"Sky Tower(Tower 1), NO.83, TUEN MUN HEUNG SZE WUI ROAD, CENTURY GATEWAY, TUEN MUN, NEW TERRITORIES",瓏門發展項目業主委員會,CENTURY GATEWAY DEVELOPMENT OWNERS' COMMITTEE
九龍油尖旺區友翔道1號御金‧國峯 1座,"BLOCK 1, The Coronation Block 1, NO.1, YAU CHEUNG ROAD, THE CORONATION, YAU TSIM MONG, KOWLOON",御金‧國峯業主委員會,THE CORONATION OWNERS COMMITTEE
香港島東區英皇道632號慧雲峰,"La Place de Victoria, NO.632, KING'S ROAD, EASTERN, HONG KONG",慧雲峰業主委員會,LA PLACE DE VICTORIA OWNERS COMMITTEE
新界北區青山公路 - 古洞段83號高爾夫景園1 座,"BLOCK 1, BLOCK 1, NO.83, CASTLE PEAK ROAD - KWU TUNG, GOLF PARKVIEW, NORTH, NEW TERRITORIES",高爾夫景園業主委員會,GOLF PARKVIEW OWNERS COMMITTEE
新界屯門區泥圍500號滙悅豪庭A座,"BLOCK A, NO.500, NAI WAI, MOUNTAIN VIEW, TUEN MUN, NEW TERRITORIES",滙悅豪庭業主委員會,OWNERS COMMITTEE OF MOUNTAIN VIEW
新界大埔區山塘路18號龍成堡,"JC Castle, NO.18, SHAN TONG ROAD, TAI PO, NEW TERRITORIES",龍成堡業主委員會,JC CASTLE OWNER'S COMMITTEE
新界大埔區科進路5號天賦海灣第一座,"BLOCK 1, NO.5, FO CHUN ROAD, PROVIDENCE BAY, TAI PO, NEW TERRITORIES",天賦海灣業主委員會,PROVIDENCE BAY OWNER'S COMMITTEE
新界大埔區科進路8號天賦海灣-溋玥第一座,"BLOCK 1, NO.8, FO CHUN ROAD, PROVIDENCE PEAK, TAI PO, NEW TERRITORIES",溋玥- 天賦海灣業主委員會,PROVIDENCE PEAK OWNER'S COMMITTEE
新界大埔區科進路9號天賦海灣-海鑽第一座,"BLOCK 1, NO.9, FO CHUN ROAD, THE GRACES - PROVIDENCE BAY, TAI PO, NEW TERRITORIES",海鑽 - 天賦海灣業主委員會,THE GRACES PROVIDENCE BAY OWNER'S COMMITTEE
新界元朗區天葵路33號慧景軒第一座,"TOWER 1, NO.33, TIN KWAI ROAD, VIANNI COVE, YUEN LONG, NEW TERRITORIES",慧景軒業主委員會,ESTATE OWNERS' COMMITTEE OF VIANNI COVE
"新界沙田區安景街25號碧濤花園,第3期峯景閣","Hillview Court, NO.25, ON KING STREET, PICTORIAL GARDEN, PHASE 3, SHA TIN, NEW TERRITORIES",碧濤花園第三期業主委員會,PICTORIAL GARDEN PHASE 3 OWNERS COMMIITTEE
九龍油尖旺區砵蘭街180號新興大廈東京銀座,"Tokyo Town Sun Hing Building, NO.180, PORTLAND STREET, YAU TSIM MONG, KOWLOON",東京銀座商場業主委員會,THE OWNERS' COMMITTEE TOKYO TOWN SHOPPING ARCADE
九龍油尖旺區必發道28號Bedford 28,"柏豐28, NO.28, BEDFORD ROAD, YAU TSIM MONG, KOWLOON",柏豐28業主委員會,BEDFORD 28
九龍油尖旺區亞皆老街83號先達廣場,"Sincere Podium, NO.83, ARGYLE STREET, YAU TSIM MONG, KOWLOON",先達廣場業主委員會,
九龍油尖旺區匯翔道 8號The Austin第三座,"Tower 3, NO.8, WUI CHEUNG ROAD , YAU TSIM MONG, KOWLOON",The Austin業主委員會,THE OWNERS COMMITTEE OF THE AUSTIN
九龍油尖旺區都會道 8-9號國際都會都會軒 1座,"Tower 1, NO.8-9, METROPOLIS DRIVE , THE METROPOLIS, YAU TSIM MONG, KOWLOON",都會軒業主委員會,
九龍九龍城區KIL3303登巴道23號DUNBAR PLACE,"DUNBAR PLACE, NO.23, 3303, KIL, KOWLOON CITY, KOWLOON",DUNBAR PLACE業主委員會,DUNBAR PLACE OWNERS' COMMITTEE
九龍油尖旺區洋松街1號形品．星寓,"Lime Stardom, NO.1, LARCH STREET, YAU TSIM MONG, KOWLOON",形品．星寓業主委員會,
九龍黃大仙區瓊東街8號嘉峰臺第一座.,"BLOCK 1, Kingsford Terrace, NO.NO. 8, KING TUNG STREET, WONG TAI SIN, KOWLOON",嘉峰臺業主委員會,THE OWNERS COMMITTEE OF KINGSFORD TERRACE
香港島東區明園西街28號曉峯,"Mount East, NO.28, MING YUEN WESTERN STREET, EASTERN, HONG KONG",曉峯業主委員會,MOUNT EAST OWNERS' COMMITTEE
新界屯門區龍鼓灘龍濤灣畔3期,"PHASE 3, DRAGON COVE, LUNG KWU TAN, TUEN MUN, NEW TERRITORIES",龍濤灣畔3期業主委員會,DRAGON COVE PHASE 3 OWNERS' COMMITTEE
香港島東區明園西街38號形品,"Lime Habitat, NO.38, MING YUEN WESTERN STREET, EASTERN, HONG KONG",形品業主委員會,LIME HABITAT OWNERS' COMMITTEE
新界元朗區教育路15-19號嘉城商場,"Kar Shing Shopping Arcade, NO.15-19, KAU YUK ROAD, YUEN LONG, NEW TERRITORIES",嘉城廣場業主委員會,THE OWNER'S COMMITTEE OF KAR SHING SHOPPING AREADE
香港島東區筲箕灣道333號樂融軒,"Harmony Place, NO.333, SHAU KEI WAN ROAD, EASTERN, HONG KONG",樂融軒業主委員會,HARMONY PLACE OWNERS' COMMITTEE
九龍九龍城區旭日街9號港圖灣,"Bayview, NO.9, YUK YAT STREET, KOWLOON CITY, KOWLOON",港圖灣,BAYVIEW
香港島東區英皇道668號健康村重建二期 康祥閣,"HONG CHEUNG COURT, NO.668, KING'S ROAD, HEALTHY VILLAGE REDEVELOPMENT STAGE II, EASTERN, HONG KONG",健康村重建二期業主委員會,HEALTHY VILLAGE REDEVELOPMENT STAGE II OWNERS' COMMITTEE
香港島東區七姊妺道190-192號健康村 康宏閣,"HONG WAN COURT, NO.190-192, TSAT TSZ MUI ROAD, HEALTHY VILLAGE, EASTERN, HONG KONG",健康村康宏閣康輝閣業主委員會,"HEALTHY VILLAGE, HONG WAN COURT AND HONG FAI COURT OWNER'S COMMITTEE"
新界西貢區唐俊街12號天晉II,"Wings II, NO.12, TONG CHUN STREET, SAI KUNG, NEW TERRITORIES",天晉II業主委員會,THE WINGS II OWNERS' COMMITTEE
新界葵青區青綠街18號綠悠雅苑,"Greenview Villa, NO.18, TSING LUK STREET, KWAI TSING, NEW TERRITORIES",綠悠雅苑業主委員會,GREENVIEW VILLA OWNERS' COMMITTEE
新界沙田區坳背灣街30-32號華耀工業中心,"WAH YIU INDUSTRIAL BUILDING, NO.30-32, AU PUI WAN STREET, SHA TIN, NEW TERRITORIES",華耀工業中心業主委員會,WAH YIU INDUSTRIAL BUILDING OWNERS' COMMITTEE
新界沙田區顯泰街18號名家匯1座,"TOWER 1, Tower 1, NO.18, HIN TAI STREET, HILL PARAMOUNT, SHA TIN, NEW TERRITORIES",名家匯業主委員會,OWNERS' COMMITTEE OF HILL PARAMOUNT
九龍油尖旺區柯士甸道西9號Grand Austin第三座,"Tower 3, NO.9, AUSTIN ROAD WEST, YAU TSIM MONG, KOWLOON",Grand Austin業主委員會,THE OWNERS' COMMITTEE OF GRAND AUSTIN
九龍油尖旺區廣東道28號力寶太陽廣場,"Lippo Sun Plaza, NO.28, CANTON ROAD, YAU TSIM MONG, KOWLOON",力寶太陽廣場業主委員會,
香港島中西區干諾道西38號達隆名居,"Talon Tower, NO.38, CONNAUGHT ROAD WEST, CENTRAL AND WESTERN, HONG KONG",達隆名居業主委員會,THE OWNERS' COMMITTEE OF TALON TOWER
香港島東區西灣臺1號,"MOUNT PARKER RESIDENCES, NO.1, SAI WAN TERRACE, EASTERN, HONG KONG",,MOUNT PARKER RESIDENCES OWNERS' COMMITTEE
九龍黃大仙區睦鄰街8號現崇山,"LIONS RISE, NO. 8 MUK LUN STREET, WONG TAI SIN, KOWLOON",現崇山業主委員會,LIONS RISE OWNERS' COMMITTEE
新界元朗區鳳翔路88號譽88第一 座,"RESIDENCE 88 TOWER 1, NO.88, FUNG CHEUNG ROAD, YUEN LONG, NEW TERRITORIES",譽88 業主委員會,OWNERS' COMMITTEE OF RESIDENCE 88
九龍油尖旺區海輝道11號維港灣第十座,"Island Harbourview Tower 10, NO.11, HOI FAI ROAD, ISLAND HARBOURVIEW, YAU TSIM MONG, KOWLOON",維港灣住宅業主附屬委員會,RESIDENTIAL OWNERS SUB-COMMITTEE OF ISLAND HARBOURVIEW
新界沙田區 麗坪路33號 玖瓏山日瓏閣第1座,"Court A Tower 1, NO.33, LAI PING ROAD, DRAGONS RANGE, SHA TIN, NEW TERRITORIES",玖瓏山業主委員會,DRAGONS RANGE OWNERS' COMMITTEE
新界元朗區元朗青山公路洪水橋段  600號尚城,"Uptown, NO.600, CASTLE PEAK ROAD [HUNG SHUI KIU], YUEN LONG, NEW TERRITORIES",尚城業主委員會,UPTOWN OWNERS' COMMITTEE
新界元朗區八鄉錦莆路 65-68號碧戶軒 A座,"Block A, NO.65-68, KAM PO RD, PAT HEUNG , TOURMALINE VILLA, YUEN LONG, NEW TERRITORIES",碧戶軒業主委員會,TOURMALINE VILLA OWNERS' COMMITTEE
九龍九龍城區賈炳達道 33號曉薈,"High Place, NO.33,  CARPENTER ROAD , KOWLOON CITY, KOWLOON",曉薈業主委員會,HIGH PLACE OWNERS' COMMITTEE
九龍油尖旺區眾坊街3號駿發花園第1座,"BLOCK 1, PROSPEROUS GARDEN, NO.3, PUBLIC SQUARE STREET, YAU TSIM MONG, KOWLOON",駿發花園第一座業主會,"THE OWNERS' ASSOCIATION OF BLOCK 1, PROSPEROUS GARDEN"
九龍油尖旺區眾坊街3號駿發花園第3座,"BLOCK 3, PROSPEROUS GARDEN, NO.3, PUBLIC SQUARE STREET, YAU TSIM MONG, KOWLOON",駿發花園第三座業主委員會,THE OWNERS' COMMITTEE OF BLOCK 3 PROSPEROUS GARDEN
九龍油尖旺區眾坊街3號駿發花園第2座,"BLOCK 2, PROSPEROUS GARDEN, NO.3, PUBLIC SQUARE STREET, YAU TSIM MONG, KOWLOON",駿發花園第二座業主會,THE OWNERS' ASSOCIATION OF BLOCK 2 PROSPEROUS GARDEN
九龍油尖旺區眾坊街3號駿發花園第4座,"BLOCK 4, PROSPEROUS GARDEN, NO.3, PUBLIC SQUARE STREET, YAU TSIM MONG, KOWLOON",駿發花園第四座業主委員會,THE OWNERS' COMMITTEE OF BLOCK 4 PROSPEROUS GARDEN
九龍油尖旺區山東街47-51號中僑商業大廈,"Chung Kiu Commercial Building, NO.47-51, SHANTUNG STREET, YAU TSIM MONG, KOWLOON",星際城市業主委員會,OWNERS' COMMITTEE OF SIM CITY
九龍油尖旺區海輝道10號瓏璽朝海鑽6B座,"TOWER 6B, IMPERIAL SEASIDE, IMPERIAL CULLINAN, NO.10, HOI FAI ROAD, YAU TSIM MONG, KOWLOON",瓏璽業主委員會,OWNERS'S COMMITTEE OF IMPERIAL CULLINAN
九龍油尖旺區廣東道68-80號恒利大廈,"Hanley House, NO.68-80, CANTON ROAD, YAU TSIM MONG, KOWLOON",廣東八十業主委員會,THE OWNERS' COMMITTEE OF CANTONYAMA
九龍油尖旺區佐敦道28-28A號敦成大廈,"The Tun Shing Mansion, NO.28-28A, JORDAN ROAD, YAU TSIM MONG, KOWLOON",佐敦廣場業主委員會,JORDAN SQUARE OWNERS COMMITTEE
九龍油尖旺區太子道西162號華邦商業中心,"Workingbond Commercial Centre, NO.162, PRINCE EDWARD ROAD WEST, YAU TSIM MONG, KOWLOON",華邦商業中心業主委員會,
香港島東區康民街3號灣景園,"Bayview Park, NO.3, HONG MAN STREET, EASTERN, HONG KONG",灣景園業主委員會,BAYVIEW PARK OWNER'S COMMITTEE
九龍黃大仙區蒲崗村道99號匯豪山,"THE FOREST HILLS, NO.NO. 99, PO KONG VILLAGE ROAD, WONG TAI SIN, KOWLOON",匯豪山業主委員會,THE FOREST HILLS OWNERS' COMMITTEE
九龍油尖旺區漆咸道南61-65號首都廣場,"The CAPTIAL, NO.61-65, CHATHAM ROAD, YAU TSIM MONG, KOWLOON",首都商場業主委員會(商場),THE OWNERS' COMMITTEE OF THE CAPITAL (ARCADE)
香港島灣仔區春暉臺8號春暉8號,"The Signature, NO.8, CHUN FAI TERRACE, WAN CHAI, HONG KONG",春暉8號業主委員會,THE SIGNATURE OWNERS' COMMITTEE
香港島東區天后廟道31號君悅華庭,"GRAND VILLA, NO.31, TIN HAU TEMPLE ROAD, EASTERN, HONG KONG",君悅華庭業主委員會,GRAND VILLA OWNERS' COMMITTEE
新界荃灣區永順街48號環宇海灣第一座.,"BLOCK 1, CITY POINT, NO.48, WING SHUN STREET, TSUEN WAN, NEW TERRITORIES",環宇海灣業主委員會,CITY POINT OWNERS' COMMITTEE
新界元朗區天恩路2號第一期栢慧豪園第一座,"PHASE ONE, Block 1, NO.2, TIN YAN ROAD, YUEN LONG, NEW TERRITORIES",栢慧豪園業主委員會,CENTRAL PARK TOWERS ESTATE OWNERS' COMMITTEE
新界元朗區香港新界元朗公庵路68號 溱柏,"PARK SIGNATURE, 68 KUNG UM ROAD, YUEN LONG, N.T. , YUEN LONG, NEW TERRITORIES",溱柏業主委員會,THE OWNERS' COMMITTEE OF PARK SIGNATURE
新界屯門區青山坊2號華樂大廈,"Wah Lok Mansion, NO.2, TSING SHAN SQUARE, TUEN MUN, NEW TERRITORIES",壹號總站業主委員會,ONE TERMINAL OWNERS' COMMITTEE
香港島南區赤柱灘道5號STANLEY CREST,"Stanley Crest Block A, NO.5, STANLEY BEACH ROAD, STANLEY CREST, SOUTHERN, HONG KONG",,STANLEY CREST OWNERS' COMMITTEE
新界大埔區鳳園路9號嵐山第2期嵐山1座,"BLOCK 1, PHASE 2, NO.9, FUNG YUEN ROAD, MONT VERT, TAI PO, NEW TERRITORIES",嵐山業主委員會,MONT VERT OWNERS COMMITTEE
新界西貢區康城路緻藍天,"HEMERA, LOHAS PARK ROAD, 1, SAI KUNG, NEW TERRITORIES",緻藍天業主附屬委員會,HEMERA OWNERS SUB-COMMITTEE
九龍油尖旺區櫸樹街88號奧柏．御峰1座,"TOWER 1, PARK SUMMIT, NO.88, BEECH STREET, YAU TSIM MONG, KOWLOON",奧柏‧御峯業主委員會,THE OWNERS' COMMITTEE OF PARK SUMMIT
九龍黃大仙區太子道東638號譽‧港灣7座,"TOWER 7, The Latitude, NO.638, PRINCE EDWARD ROAD EAST, WONG TAI SIN, KOWLOON",譽‧港灣業主委員會,OWNERS' COMMITTEE OF THE LATITUDE
九龍黃大仙區沙浦道83號御·豪門,"BILLIONNAIRE ROYALE, NO.83, SA PO ROAD, WONG TAI SIN, KOWLOON",御·豪門業主委員會,OWNERS' COMMITTEE OF BILLIONNAIRE ROYALE
九龍黃大仙區沙浦道46號豪門,"LE BILLIONNAIRE, NO.46, SA PO ROAD, WONG TAI SIN, KOWLOON",豪門業主委員會,OWNERS' COMMITTEE OF LE BILLIONNAIRE
新界大埔區江庫雅苑,"Treasure Spot Palace, TAI PO, NEW TERRITORIES",江庫雅苑業主委員會,JOINT OWNER'S COMMITTEE OF TREASURE SPOT PALACE
新界離島區健東路1號映灣園  海珀名邸,"La Mer, NO.1, KIN TUNG ROAD, CARIBBEAN COAST  , ISLANDS, NEW TERRITORIES",映灣園第五期業主附屬委員會(海珀名邸),CARIBBEAN COAST PHASE V OWNERS' SUB-COMMITTEE (LA MER)
新界離島區東涌海濱路12號藍天海岸影岸紅A座,"LA ROSSA BLOCK A, NO.12, TUNG CHUNG WATERFRONT ROAD, COASTAL SKYLINE, ISLANDS, NEW TERRITORIES",藍天海岸第三期業主附屬委員會,COASTAL SKYLINE PHASE III OWNERS SUB-COMMITTEE
新界離島區東涌海濱路12號藍天海岸水藍天,"LE BLEU, NO.12, TUNG CHUNG WATERFRONT ROAD, COASTAL SKYLINE, ISLANDS, NEW TERRITORIES",藍天海岸第二期業主附屬委員會,COASTAL SKYLINE PHASE II OWNERS SUB-COMMITTEE
新界離島區東涌海濱路12號藍天海岸水藍天岸第一座,"LE BLEU DEUX BLOCK 1, NO.12, TUNG CHUNG WATERFRONT ROAD, COASTAL SKYLINE, ISLANDS, NEW TERRITORIES",藍天海岸第四期業主附屬委員會,COASTAL SKYLINE PHASE IV OWNERS SUB-COMMITTEE
九龍九龍城區沐翠街 3號煥然壹居H1座,"TOWER H1, NO.3, MUK CHUI STREET, DE NOVO, KOWLOON CITY, KOWLOON",煥然壹居業主委員會,THE OWNER'S COMMITTEE OF DE NOVO
九龍九龍城區窩打老道78號翠林雅軒,"Park Horizon, NO.78, WATERLOO ROAD, KOWLOON CITY, KOWLOON",翠林雅軒業主委員會,
九龍九龍城區何文田山道15號灝畋峰,"15 HOMANTIN HILL, NO.15, HOMANTIN HILL ROAD, KOWLOON CITY, KOWLOON",灝畋峰業主委員會,
新界北區清曉路18號御皇庭1 座,"BLOCK 1, BLOCK 1, NO.18, CHING HIU ROAD, ROYAL GARDEN, NORTH, NEW TERRITORIES",御皇庭業主委員會,ROYAL GREEN OWNERS' COMMITTEE
九龍深水埗區通州街500號星匯居 二座,"BLOCK 2, THE SPARKLE BLOCK 2, NO.500, TUNG CHAU STREET, THE SPARKLE, SHAM SHUI PO, KOWLOON",星匯居業主委員會,THE OWNERS ' COMMITTEE OF THE SPARKLE
新界沙田區道風山路 20號麗柏苑 A 座,"BLOCK A, NO.20, TO FUNG SHAN ROAD , VILLA LE PARC , SHA TIN, NEW TERRITORIES",麗柏園業主委員會,VILLA LE PARC OWNERS' COMMITTEE
九龍深水埗區褔榮街188號曉盈,"HIGH ONE GRAND, NO.188, FUK WING STREET, SHAM SHUI PO, KOWLOON",曉盈業主委員會,THE OWNER'S COMMITTEE OF HIGH ONE GRAND
九龍九龍城區廣播道1號逸瓏 二座,"BLOCK 2, NO. 1 , BROADCAST DRIVE, ONE MAYFAIR , KOWLOON CITY, KOWLOON",逸瓏業主委員會,ONE MAYFAIR OWNERS' COMMITTEE
九龍油尖旺區豉油街20-22號總統商業大廈,"President Commercial Centre, NO.20-22, SOY STREET, YAU TSIM MONG, KOWLOON",Chic之堡業主委員會,CHIC CASTLE OWNERS' COMMITTEE
九龍油尖旺區KIL11152海輝道8號浪澄灣浪澄灣第一座,"Long Beach Tower 1, NO.8, HOI FAI ROAD, 11152, KIL, THE LONG BEACH, YAU TSIM MONG, KOWLOON",浪澄灣業主委員會,THE OWNERS' COMMITTEE OF THE LONG BEACH
香港島南區南寧街15號香港仔中心港榮閣,"Kong Wing Court, NO.15, NAM NING STREET, ABERDEEN CENTRE, SOUTHERN, HONG KONG","香港仔中心港榮閣, 港興閣, 港昌閣, 港盛閣, 港富閣, 港泰閣業主委員會","KONG WING COURT, KONG HING COURT, KONG CHEONG COURT, KONG SHING COURT, KONG FU COURT, KONG TAI COURT OF ABERDEEN CENTRE OWNERS' COMMITTEE"
香港島中西區皇后大道西421號華明中心A 座,"BLOCK A, BLOCK A, NO.421, QUEEN'S ROAD WEST, WAH MING CENTRE, CENTRAL AND WESTERN, HONG KONG",華明中心 A & B 座業主委員會,WAH MING CENTRE BLOCK A & B OWNERS' COMMITTEE
新界離島區銀運路2號家樂閣,"GALLOP COURT, NO.2, NGAN WAN ROAD, ISLANDS, NEW TERRITORIES",家樂閣業主委員會,OWNERS COMMITTEE OF GALLOP COURT
新界離島區梅窩碼頭路16號福安閣,"LUCKY COURT, NO.16, MUI WO FERRY PIER ROAD, ISLANDS, NEW TERRITORIES",福安閣業主委員會,OWNERS COMMITTEE OF LUCKY COURT
