estate_name,district_name,region_name,lat,lng,sold_under,year_of_completion,year_of_completion_raw,type_of_block,no_of_blocks,no_of_flats,name_of_block,gross_floor_area_of_flt,saleable_area_of_flats,initial_sale_price,owners_corporation,reg_management_office,property_management,carpark_management,court_website,further_information
Lung Tak Court,Southern,Hong Kong Island,22.21959,114.20868,22A,2000,2000,Rural Harmony,4,984,Chun Tak House Shing Tak House Chi Tak House Yi Tak House,26 - 77,19 - 58,339600 - 1534600,Formed,Hong Kong District Tenancy Management office Wah Fu (II) Sub-office G/F No. 21-34 Wah Hing House Wah Fu (II) Estate Pokfulam Hong Kong Tel : 2551 0660 Fax : 2875 5153,Appointed by Owners' Corporation,Modern Living Property Management Limited G/F Ying Ma House Ma Hang Estate Stanley Telephone: 2813 7963 Fax: 2813 4625,,
Chun Wah Court,Kwun Tong,Kowloon,22.32269,114.21768,11C,1990,1990,Flexi 3,1,232,Chun Wah Court,55 - 59,43 - 46,369400 - 486600,Formed,Housing Department Lok Wah (North) Estate Office & Housing Department Kowloon East (6) District Tenancy Management Office G/F Ping Wah House Lok Wah (North) Estate Kowloon Telephone: 2755 5551 Fax: 2750 8597,Appointed by Owners' Corporation,,,
Hiu Lai Court,Kwun Tong,Kowloon,22.32066,114.22857,16B 17A 17B,1997,1997,Harmony,8,4864,Hiu Tin House Hiu Sing House Hiu Ching House Hiu Fai House Hiu On House Hiu Yat House Hiu Wo House Hiu Shun House,53 - 82,40 - 60,747600 - 1492700,Formed,Housing Department Kowloon East (4) District Tenancy Management Office G/F Wun Wah House Lok Wah South Estate Ngau Tau Kok Kowloon Telephone: 2755 6613 Fax: 2757 2551,Kai Shing Management Services Ltd. Wings B & D G/F Hiu Fai Court (Block D) Hiu Lai Court 21 Hiu Kwong Street Kwun Tong Kowloon. Telephone: 2727 7889 Fax: 2727 7329,Wilson Parking (HK) Ltd. Room 2901 Metroplaza Tower 1 Kwai Fong Telephone: 2487 6138 Fax: 2428 6026 Web site: www.wilsonparking.com.hk E-mail: wphk@wilsonparking.com.hk,,
Yue Fai Court,Southern,Hong Kong Island,22.25026,114.1571,1 2A,1980,1980,Non-Standard,6,1320,Yuk Fai House Yat Fai House Mei Fai House On Fai House King Fai House Tin Fai House,42 - 46,35 - 38,108800 - 223700,Formed,Shek Pai Wan Estate Office G01 G/F. Pik Long House Shek Pai Wan Estate Hong Kong. Tel : 2294 9008 Fax : 2294 9000,Appointed by Owners' Corporation,Yue Xiu APT Parking Limited 27/F. Seabright Plaza 9-23 Shell Street North Point Hong Kong Telephone: 2512 9611 Fax: 2512 9617 Website: http://yuexiuaptparking.com.hk/,,
Kornhill,Eastern,Hong Kong Island,22.28546,114.21617,8B,1987,1987,Private Sector Participation Scheme,10,2180,Block 1 - Block 10,48 - 66,40 - 55,250100 - 443700,Not Yet Formed,Model Housing Estate Office G/F. Block C Model Housing Estate 770 King's Road North Point Hong Kong . Tel : 2562 4255 Fax : 2562 9409,MTR Corporation Ltd. G/F. Block 5 Kornhill Gardens Quarry Bay H.K. Telephone: 2993 2111 Fax: 2798 8822,,,
Tung Lam Court,Eastern,Hong Kong Island,22.28027,114.22052,18A,1997,1997,Harmony,1,697,Tung Lam Court,26 - 75,19 - 56,408600 - 1379700,Formed,Model Housing Estate Office G/F. Block C Model Housing Estate 770 King's Road North Point Hong Kong . Tel : 2562 4255 Fax : 2562 9409,Appointed by Owners' Corporation,,,
Neptune Terrace,Eastern,Hong Kong Island,22.26813,114.23443,7C,1986,1986,Private Sector Participation Scheme,3,978,Tower 1 - Tower 3,62 - 91,54 - 80,272700 - 450500,Formed,Hing Man Estate Office Level 2 Community Building Hing Man Estate Chai Wan Hong Kong Tel : 2558 6311 Fax : 2505 2053,Appointed by Owners' Corporation,,,
Greenwood Terrace,Eastern,Hong Kong Island,22.26699,114.23463,7B,1985,1985,Private Sector Participation Scheme,7,2100,Tower 1 - Tower 7,54 - 81,46 - 70,229000 - 406900,Formed,Hing Man Estate Office Level 2 Community Building Hing Man Estate Chai Wan Hong Kong Tel : 2558 6311 Fax : 2505 2053,Appointed by Owners' Corporation,,,
Tin Lee Court,Islands,New Territories,22.25313,113.86679,Sales of Home Ownership Scheme Flats in Tin Lee Court,1995,Completed in 1995 & converted to HOS in 2014,Modified Rural Harmonic Domestic Block,1,85,Tin Lee Court,,44.4 - 45.1,641100 - 897300,Formed,Islands District Tenancy Management Office G/F. Mun Shun House Mun Tung Estate Tung Chung Lantau Island Hong Kong Telephone : 2320 5099 Fax: 2320 5018,Appointed by Owners' Corporation,,,
Ko Chun Court,Kwun Tong,Kowloon,22.29906,114.24214,15A 15B,1995,1995,Harmony,5,1616,Chun Wui House Chun Ying House Chun Moon House Chun Yat House Chun Mau House,54 - 81,39 - 59,724200 - 1319700,Formed,Housing Department Kowloon East (2) District Tenancy Management Office G/F Ko Yuet House Ko Yee Estate Kowloon. Telephone: 2772 0462 Fax: 2952 9120,Hong Yip Service Co. Ltd. G/F Chun Yat House Ko Chun Court Yau Tong Telephone: 2347 2788 Fax: 2349 6490 Web site: http://www.hongyip.com.hk,Owned and operated by private corporation,,
Po Pui Court,Kwun Tong,Kowloon,22.31771,114.22767,15C,1995,1995,NCB,5,1750,Po Shan House Po Wu House Po Ying House Po Chui House Po Yiu House,47 - 76,37 - 59,747200 - 1521700,Formed,Housing Department Lok Wah (North) Estate Office & Housing Department Kowloon East (6) District Tenancy Management Office G/F Ping Wah House Lok Wah (North) Estate Kowloon Telephone: 2755 5551 Fax: 2750 8597,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Cheung Wo Court,Kwun Tong,Kowloon,22.31969,114.22703,5B,1984,1984,Slab / Flexi 1 2,6,1584,Wo Kwan House Wo Yuet House Wo Shing House Wo Kin House Wo Hang House Wo Tung House,46 - 63,38 - 52,148200 - 305800,Formed,Housing Department Kowloon East (1) District Tenancy Management Office G/F. Wing B Kai Yan House Kai Tin Estate Lam Tin Kowloon Telephone: 3749 9440 Fax: 3749 9439,Appointed by Owners' Corporation,Amano Parking Service Limited Rm. E 6/F Selwyn Factory Building 404 Kwun Tong Road Kwun Tong Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,,Barrier‐Free Access (BFA) Facilities
Yau Tong Centre,Kwun Tong,Kowloon,22.2947,114.23835,1,1981,1981,Private Sector Participation Scheme,9,506,Tower 1 - Tower 9,45 - 64,37 - 55,82416 - 159300,Formed,Housing Department Shun On Estate Office G/F On Chung House Shun On Estate Kwun Tong Kowloon Telephone: 2342 8259 Fax: 2763 6041,Appointed by Owners' Corporation,,,
Hong Ying Court,Kwun Tong,Kowloon,22.30811,114.23825,12A,1991,1991,Trident 3,1,816,Hong Ying Court,46 - 64,35 - 49,306700 - 531500,Formed,Housing Department Shun On Estate Office G/F On Chung House Shun On Estate Kwun Tong Kowloon Telephone: 2342 8259 Fax: 2763 6041,Appointed by Owners' Corporation,,,
Hong Tin Court,Kwun Tong,Kowloon,22.30771,114.23472,3A,1982,1982,Flexi 1,3,792,Yue Hong House Wo Hong House Kei Hong House,43 - 59,37 - 51,181700 - 303400,Formed,Housing Department Shun On Estate Office G/F On Chung House Shun On Estate Kwun Tong Kowloon Telephone: 2342 8259 Fax: 2763 6041,Urban Property Management Limited Management Office G/F. Wo Hong House Hong Tin Court 31-47 Kai Tin Road Lam Tin Kowloon. Telephone: 2717 1621 Fax: 2709 6279 Web site: http: //www.urban.com.hk E-mail: info@urban.com.hk,Amano Parking Service Limited Rm. E 6/F Selwyn Factory Building 404 Kwun Tong Road Kwun Tong Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,,Barrier‐Free Access (BFA) Facilities
Hong Pak Court,Kwun Tong,Kowloon,22.30191,114.24085,13B,1993,1993,NCB,7,2410,Chung Pak House Lung Pak House Cheung Pak House Shui Pak House Yan Pak House Wing Pak House Kam Pak House,47 - 76,37 - 59,530100 - 1102700,Formed,Housing Department Kowloon East (10) District Tenancy Management Office G/F Sau Yat House Sau Mau Ping Estate 101 Sau Mau Ping Road Kwun Tong Kowloon Telephone: 2349 1361 Fax: 2389 7462,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Hong Shui Court,Kwun Tong,Kowloon,22.30132,114.24081,19C,1999,1999,NCB,1,350,Hong Shui Court,46 - 74,37 - 59,887300 - 2109100,Formed,Housing Department Kowloon East (10) District Tenancy Management Office G/F Sau Yat House Sau Mau Ping Estate 101 Sau Mau Ping Road Kwun Tong Kowloon Telephone: 2349 1361 Fax: 2389 7462,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Hong Wah Court,Kwun Tong,Kowloon,22.31386,114.23992,8C,1987,1987,Windwill,3,1680,Wang Hong House Yee Hong House Chung Hong House,43 - 53,32 - 39,154400 - 286800,Formed,Housing Department Kowloon East (5) District Tenancy Management G/F Lee Foo House Shun Lee Estate Kwun Tong Kowloon Telephone: 2341 8286 Fax: 2763 6066,Appointed by Owners' Corporation,Amano Parking Service Limited Rm. E 6/F Selwyn Factory Building 404 Kwun Tong Road Kwun Tong Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,,Barrier‐Free Access (BFA) Facilities
Shan Tsui Court,Eastern,Hong Kong Island,22.26888,114.23324,1,1981,1981,Non-Standard,4,896,Tsui Pui House Tsui Yue House Tsui Lam House Tsui Pik House,43 - 44,34 - 35,100300 - 114000,Formed,Hing Man Estate Office Level 2 Community Building Hing Man Estate Chai Wan Hong Kong Tel : 2558 6311 Fax : 2505 2053,Appointed by Owners' Corporation,Yue Xiu APT Parking Limited 27/F. Seabright Plaza 9-23 Shell Street North Point Hong Kong Telephone: 2512 9611 Fax: 2512 9617 Website: http://yuexiuaptparking.com.hk/,,
Tung Shing Court,Eastern,Hong Kong Island,22.27629,114.22644,19C,2000,2000,NCB,1,370,Tung Shing Court,47 - 75,37 - 59,1024900 - 2161700,Formed,Yiu Tung Estate Office Unit 8 G/F. Yiu Fung House Yiu Tung Estate Shau Kei Wan Hong Kong Tel : 2539 8336 Fax : 2539 0040,Appointed by Owners' Corporation,Yue Xiu APT Parking Limited 27/F. Seabright Plaza 9-23 Shell Street North Point Hong Kong Telephone: 2512 9611 Fax: 2512 9617 Website: http://yuexiuaptparking.com.hk/,,
Tin Shing Court,Yuen Long,New Territories,22.44753,114.00216,19B 19C 20B,1999,1999,Concord/Harmony,17,6580,Shing Choi House Shing Chiu House Shing Yi House Shing Yin House Shing Kan House Shing Chi House Shing Wui House Shing Him House Shing Yuet House Shing Ting House Shing Hang House Shing Yuk House Shing Chun House Shing Chuen House Shing Yu House Shing Kwan House Shing Lai House,53 - 80,39 - 60,423200 - 1285400,Formed,Yuen Long District Tenancy Management Office(2) G/F Yan Lok House Tin Yan Estate Tin Shui Wai Yuen Long Telephone: 3152 2672 Fax: 3152 3780,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Siu Hei Court,Tuen Mun,New Territories,22.37415,113.96657,7C 8A,1985,1985,Windwill,5,2800,On Hei House Wan Hei House Shun Hei House Nga Hei House Lok Hei House,42 - 52,31 - 38,81100 - 170200,Formed,Tuen Mun District Tenancy Management Office (6) Units 403-412 4/F. Ting Cheung House On Ting Estate Tuen Mun Telephone: 2451 0321 Fax: 2450 9740,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Siu Hin Court,Tuen Mun,New Territories,22.40773,113.96972,12C,1991,1991,Trident,2,1224,Shun Sang House Yat Sang House,46 - 73,34 - 55,228800 - 473200,Formed,Tuen Mun District Tenancy Management Office (6) Units 403-412 4/F Ting Cheung House On Ting Estate Tuen Mun Telephone: 2451 0321 Fax: 2450 9740,Appointed by Owners' Corporation,,,Barrier‐Free Access (BFA) Facilities
San Wai Court,Tuen Mun,New Territories,22.4049,113.96277,10C 11A,1989,1989,NCB,6,2100,San Yin House San Shun House San Bik House San Hoi House San Woon House San Pui House,47 - 76,37 - 59,202400 - 440400,Formed,Tuen Mun District Tenancy Management Office (6) Units 403-412 4/F. Ting Cheung House On Ting Estate Tuen Mun Telephone: 2451 0321 Fax: 2450 9740,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Siu Lun Court,Tuen Mun,New Territories,22.38445,113.97584,13B 13C 14B 15B,1993,1993,NCB,12,4200,Ngan Lun House Po Lun House Tsui Lun House Yiu Lun House Sui Lun House Ka Lun House Fu Lun House Kwai Lun House Wing Lun House Yuk Lun House Fai Lun House Wah Lun House,47 - 76,37 - 59,351600 - 1024300,Formed,Tuen Mun District Tenancy Management Office (6) Units 403-412 4/F. Ting Cheung House On Ting Estate Tuen Mun Telephone: 2451 0321 Fax: 2450 9740,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Siu Lung Court,Tuen Mun,New Territories,22.408,113.96445,12C,1991,1991,Trident,1,612,Siu Lung Court,46 - 69,34 - 52,228900 - 445800,Formed,Tuen Mun District Tenancy Management Office (6) Units 403-412 4/F. Ting Cheung House On Ting Estate Tuen Mun Telephone: 2451 0321 Fax: 2450 9740,Appointed by Owners' Corporation,,,
Siu On Court,Tuen Mun,New Territories,22.38889,113.97571,3A,1982,1982,Old-Cruciform,10,1311,Ting Lok House Ting Yau House Ting Hei House Ting Pong House Ting Man House Ting Chi House Ting Yin House Ting On House Ting Kay House Ting Hoi House,51 - 62,43 - 52,170000 - 242800,Formed,Tuen Mun District Tenancy Management Office (7) Unit 2 Wing A G/F King Mei House Shan King Estate Tuen Mun Telephone: 2465 1212 Fax: 2469 9785,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Siu Pong Court,Tuen Mun,New Territories,22.40705,113.96657,12C,1991,1991,Trident,1,612,Siu Pong Court,45 - 69,34 - 52,230700 - 442600,Formed,Tuen Mun District Tenancy Management Office (6) Units 403-412 4/F. Ting Cheung House On Ting Estate Tuen Mun Telephone: 2451 0321 Fax: 2450 9740,Appointed by Owners' Corporation,,,Barrier‐Free Access (BFA) Facilities
Siu Shan Court,Tuen Mun,New Territories,22.37807,113.96351,5A,1983,1983,Old-Cruciform,12,1872,Min King House Cheung King House Pak King House Kwai King House Wah King House Hang King House Yeung King House Yeh King House Kin King House Lau King House Yue King House Tao King House,62 - 62,50 - 50,147700 - 180900,Formed,Tuen Mun District Tenancy Management Office (7) Unit 2 Wing A G/F King Mei House Shan King Estate Tuen Mun Telephone: 2465 1212 Fax: 2469 9785,Appointed by Owners' Corporation,Yue Xiu APT Parking Ltd 28/F Seabright Plaza 9-23 Shell St North Point Telephone: 2512 9611 Fax: 2512 9617 E-mail: yxaptsunny@biznetvigator.com,,Barrier‐Free Access (BFA) Facilities
Affluence Garden,Tuen Mun,New Territories,22.4031,113.97485,10A 10B,1989,1989,Private Sector Participation Scheme,5,2208,Block 1 - Block 5,44 - 61,42 - 55,221800 - 391800,Formed,Tuen Mun North District Tenancy Management Office 5/F Ancillary Facilities Block Fu Tai Estate Tuen Mun Telephone: 2644 0201 Fax: 2465 0561,Appointed by Owners' Corporation,,,
Chi Lok Fa Yuen,Tuen Mun,New Territories,22.38758,113.97914,1,1982,1982,Private Sector Participation Scheme,8,1000,Block 1 - Block 8,48 - 62,41 - 54,94700 - 146200,Formed,Tuen Mun North District Tenancy Management Office 5/F Ancillary Facilities Block Fu Tai Estate Tuen Mun Telephone: 2644 0201 Fax: 2465 0561,Appointed by Owners' Corporation,,,
Glorious Garden,Tuen Mun,New Territories,22.38339,113.96552,19B,1999,1999,Private Sector Participation Scheme,12,3026,Block 1 - Block 12,46 - 70,40 - 55,691400 - 1322100,Formed,Tuen Mun North District Tenancy Management Office 5/F Ancillary Facilities Block Fu Tai Estate Tuen Mun Telephone: 2644 0201 Fax: 2465 0561,Appointed by Owners' Corporation,,,
Lung Mun Oasis,Tuen Mun,New Territories,22.38529,113.96641,19A,1998,1998,Private Sector Participation Scheme,16,3800,Block 1 - Block 16,46 - 69,40 - 55,608700 - 1208400,Formed,Tuen Mun North District Tenancy Management Office 5/F Ancillary Facilities Block Fu Tai Estate Tuen Mun Telephone: 2644 0201 Fax: 2465 0561,Appointed by Owners' Corporation,,,
Melody Garden,Tuen Mun,New Territories,22.37339,113.96125,4B,1984,1984,Middle Income Housing Scheme,10,2240,Tower 1 - Tower 10,62 - 88,54 - 80,200200 - 370200,Not Yet Formed,Tuen Mun North District Tenancy Management Office 5/F Ancillary Facilities Block Fu Tai Estate Tuen Mun Telephone: 2644 0201 Fax: 2465 0561,EastPoint Properties Ltd. G/F Block 6 Melody Garden 2 Wu Tsui Road Tuen Mun Telephone: 2441 3641 Fax: 2441 0942,,,
Prime View Garden,Tuen Mun,New Territories,22.40289,113.98017,7B,1985,1985,Private Sector Participation Scheme,5,1520,Block 1 - Block 5,42 - 52,36 - 46,103500 - 166100,Formed,Tuen Mun North District Tenancy Management Office 5/F Ancillary Facilities Block Fu Tai Estate Tuen Mun Telephone: 2644 0201 Fax: 2465 0561,Appointed by Owners' Corporation,,,
Tsui Ning Garden,Tuen Mun,New Territories,22.38419,113.97377,13A 13B,1991,1991,Private Sector Participation Scheme,6,2100,Block 1 - Block 6,47 - 65,40 - 55,315600 - 685000,Formed,Tuen Mun North District Tenancy Management Office 5/F Ancillary Facilities Block Fu Tai Estate Tuen Mun Telephone: 2644 0201 Fax: 2465 0561,Appointed by Owners' Corporation,,,
Yuet Wu Villa,Tuen Mun,New Territories,22.37495,113.96797,14C 15A,1994,1994,Private Sector Participation Scheme,15,3890,Block 1 - Block 15,48 - 66,40 - 55,568500 - 981600,Formed,Tuen Mun North District Tenancy Management Office 5/F Ancillary Facilities Block Fu Tai Estate Tuen Mun Telephone: 2644 0201 Fax: 2465 0561,Guardian Property Management Ltd. G/F Block 6 Yuet Wu Villa Tuen Mun Telephone: 2441 2683 Fax: 2441 6718,,,
Yue On Court,Southern,Hong Kong Island,22.24276,114.15765,9C,1988,1988,Flexi 3,7,1960,Ngan On House Choi On House Pik On House Tse On House Har On House Shan On House Wu On Hosue,53 - 57,43 - 46,286900 - 398400,Formed,Hong Kong District Tenancy Management office Lei Tung Sub-office No. 108-116 G/F Tung Cheong House Lei Tung Estate Hong Kong Tel : 2814 8105 Fax : 2580 9892,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Broadview Court,Southern,Hong Kong Island,22.2427,114.16545,22B,2001,2001,Private Sector Participation Scheme,4,1540,Block 1 - Block 4,46 - 65,39 - 54,844700 - 1682900,Formed,Hong Kong District Tenancy Management office Lei Tung Sub-office No. 108-116 G/F Tung Cheong House Lei Tung Estate Hong Kong Tel : 2814 8105 Fax : 2580 9892,ISS EastPoint Properties Ltd. Broadview Court Management Office P/F Block 1 11 Shum Wan Road Aberdeen Telephone: 2213 4010 Fax: 2213 4466 Web Site: www.hk.issworld.com E-mail: broadview@hk.issworld.com,,,
South Wave Court,Southern,Hong Kong Island,22.24456,114.16615,15C,1995,1995,Private Sector Participation Scheme,3,1040,Block 1 - Block 3,48 - 66,40 - 54,808200 - 1359700,Formed,Hong Kong District Tenancy Management office Lei Tung Sub-office No. 108-116 G/F Tung Cheong House Lei Tung Estate Hong Kong Tel : 2814 8105 Fax : 2580 9892,Urban Property Management Limited South Wave Court Management Office Podium Block 3 South Wave Court 3 Shum Wan Road Aberdeen Hong Kong Telephone No. : 2873 4582 Fax No. : 2873 3965 website : http://www.urban.com.hk,,,
Ocean Court,Southern,Hong Kong Island,22.24742,114.15936,20A,2000,2000,Private Sector Participation Scheme,3,550,Tower 1 - Tower 3,48 - 66,40 - 55,867900 - 1670800,Formed,Hong Kong District Tenancy Management office Lei Tung Sub-office No. 108-116 G/F Tung Cheong House Lei Tung Estate Hong Kong Tel : 2814 8105 Fax : 2580 9892,Appointed by Owners' Corporation,,,
Holford Gardens,Sha Tin,New Territories,22.37366,114.17629,7B,1985,1985,Private Sector Participation Scheme,3,800,Fook Siu House Fook Hey House Fook Ki House,42 - 53,37 - 47,164200 - 267100,Formed,Tai Po North & Shatin District Tenancy Management Office (2) Market Podium Pok Hong Estate Shatin Telephone : 2648 1312 Fax : 2649 1648,Appointed by Owners' Corporation,,,
Tin Fu Court,Yuen Long,New Territories,22.46509,113.99944,21A 21B,2000,2000,Concord,16,5120,Yuen Fu House Hang Fu House Chun Fu House Long Fu House Yan Fu House Wing Fu House Hing Fu House Ning Fu House Chui Fu House Yin Fu House Wai Fu House Nang Fu House Chai Fu House Sin Fu House Yat Fu House Nga Fu House,61 - 79,47 - 60,544200 - 1004500,Formed,Yuen Long District Tenancy Management Office(1) G/F Chuen Shui House Shui Pin Wai Estate Yuen Long Telephone: 2442 2461 Fax: 2477 3284,Appointed by Owners' Corporation,Yue Xiu APT Parking Ltd 28/F Seabright Plaza 9-23 Shell St North Point Telephone: 2512 9611 Fax: 2512 9617 E-mail: yxaptsunny@biznetvigator.com,,Barrier‐Free Access (BFA) Facilities
Ka Keung Court,Wong Tai Sin,Kowloon,22.34164,114.18462,18B 20B,1998,1998,NCB,2,610,Ka Wui House Ka Ying House,46 - 74,37 - 59,893600 - 1943000,Formed,Wong Tai Sin District Tenancy Management Office (4) Podium Temple Mall North 136 Lung Cheung Road Wong Tai Sin Telephone: 3572 0040 Fax: 3572 0044,Appointed by Owners' Corporation,Amano Parking Service Limited Rm. E 6/F Selwyn Factory Building 404 Kwun Tong Road Kwun Tong Kowloon Telephone: 2570 5690 Fax: 2555 7911 Email: info@amano.com.hk.,,Barrier-Free Access (BFA) Facilities
Lok Nga Court,Kwun Tong,Kowloon,22.32312,114.2197,5A,1984,1984,Flexi 2,6,1331,Nga Yat House Nga Ching House Nga Tsui House Nga Yee House Nga Wo House Nga Ping House,48 - 54,40 - 44,191500 - 254200,Formed,Housing Department Lok Wah (North) Estate Office & Housing Department Kowloon East (6) District Tenancy Management Office G/F Ping Wah House Lok Wah (North) Estate Kowloon Telephone: 2755 5551 Fax: 2750 8597,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Richland Gardens,Kwun Tong,Kowloon,22.32974,114.20698,6B,1985,1985,Private Sector Participation Scheme,22,5904,Block 1 - Block 22,43 - 57,37 - 50,188300 - 340600,Not Yet Formed,Housing Department Kowloon East (10) District Tenancy Management Office G/F Sau Yat House Sau Mau Ping Estate 101 Sau Mau Ping Road Kwun Tong Kowloon Telephone: 2349 1361 Fax: 2389 7462,Shui On Property Management Ltd. G/F Block 9 Richland Gardens Kowloon Bay Telephone: 2754 7600 Fax: 2305 4638 Email: sopm@shuion.com.hk,,,
Siu Kwai Court,Tuen Mun,New Territories,22.40516,113.96653,11C,1990,1990,Trident 3 / Trident 4,2,1428,Siu Keung House Siu Fu House,46 - 70,34 - 52,176000 - 335900,Formed,Tuen Mun District Tenancy Management Office (6) Units 403-412 4/F. Ting Cheung House On Ting Estate Tuen Mun Telephone: 2451 0321 Fax: 2450 9740,Appointed by Owners' Corporation,,,Barrier‐Free Access (BFA) Facilities
Yu Chui Court,Sha Tin,New Territories,22.38125,114.20488,23A 24A,2001,2001,Concord,16,4176,Yu Fun House Yu Yan House Yu Moon House Yu Sin House Yu Yeung House Yu Chai House Yu Kui House Yu Ting House Yu Man House Yu Nang House Yu Yin House Yu Lai House Yu Chung House Yu Lim House Yu Ching House Yu Kan House,68 - 87,47 - 61,918300 - 1700600,Not Yet Formed,Tai Po North & Shatin District Tenancy Management Office (11) Unit 1-15 G/F Skylark House Sha Kok Estate Shatin Telephone : 2697 7208 Fax : 2797 0908,Appointed by Owners’ Committee,Owned and operated by private corporation,,
Rhythm Garden,Wong Tai Sin,Kowloon,22.33599,114.20194,21B,2000,2000,Private Sector Participation Scheme,12,3000,Block 1 - Block 12,46 - 64,40 - 55,878800 - 1767800,Not Yet Formed,Tsz Ching Estate Office G/F Ching Hong House Tsz Ching Estate Telephone: 2325 0104 Fax: 2351 4358,Urban Property Management Ltd. G/F Block 10 Rhythm Garden No. 242 Choi Hung Road San Po Kong Telephone: 2142 4000 Fax: 2142 4101,,,
Tsz Oi Court,Wong Tai Sin,Kowloon,22.34987,114.19812,17A 17B 20B,1997,1997 2000,New Cruciform Concord,12,4020,Tsz Oi Court Stage I & II Oi Wai House Oi Yin House Oi Kan House Oi Ning House Oi Yan House Oi Chung House Tsz Oi Court Stage III Oi Fu House Oi Yue House Oi Wing House Oi Wah House Oi Hong House Oi Cheung House,46 - 79,37 - 60,748500 - 2094600,Formed,Tsz Ching Estate Office G/F Ching Hong House Tsz Ching Estate Telephone: 2325 0104 Fax: 2351 4358,Tsz Oi Court Stage I & II Hong Yip Service Company Limited G/F Oi Yin House Tsz Oi Court 2 Wan Wah Street Tsz Wan Shan Tel: 2322 9221 Fax: 2329 3677 Tsz Oi Court Stage III Guardian Property Management Ltd G/F Property Management Office Tsz Oi Court Phase 3 No 120 Tsz Wan Shan Raod. Tsz Wan Shan. Tel: 3149 5655 Fax: 3149 5658,Owned and operated by private corporation,,
Tsz On Court,Wong Tai Sin,Kowloon,22.34825,114.20129,15A 17B,1994,1994 1997,Harmony,2,972,On Yan House On Hong House,55 - 83,38 - 60,749600 - 1379300,Formed,Tsz Ching Estate Office G/F Ching Hong House Tsz Ching Estate Tsz Wan Shan Telephone: 2325 0104 Fax: 2351 4358,Appointed by Owners' Corporation,,,
Hong Keung Court,Wong Tai Sin,Kowloon,22.33717,114.18952,20A,1999,1999,Harmony,1,640,Hong Keung Court,53 - 80,39 - 60,809600 - 1892800,Formed,Wong Tai Sin District Tenancy Management Office (4) Podium Temple Mall North 136 Lung Cheung Road Wong Tai Sin Telephone: 3572 0040 Fax: 3572 0044,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Kai Tai Court,Kwun Tong,Kowloon,22.32829,114.2107,4A,1983,1983,Old-Cruciform,4,624,Kai Pong House Kai On House Kai Hong House Kai Fan House,62 - 62,50 - 50,203100 - 240700,Formed,Housing Department Kai Yip Estate Office G/F Kai Yin House Kai Yip Estate Kowloon Telephone: 2757 3710 Fax: 2757 2471,Appointed by Owners' Corporation,Amano Parking Service Limited Rm. E 6/F Selwyn Factory Building 404 Kwun Tong Road Kwun Tong Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,,Barrier‐Free Access (BFA) Facilities
Tsui Yiu Court,Kwai Tsing,New Territories,22.35066,114.13167,2B,1981,1981,Non-Standard,1,292,Tsui Yiu Court,44 - 66,38 - 56,162700 - 271400,Formed,Ha Kwai Chung District Tenancy Management Office Wing C G/F Shek Cheung House Shek Lei (II) Estate Kwai Chung T : 2420 6987 F : 2429 9431,Appointed by Owners' Corporation,Amano Parking Service Limited Address: Rm. E 6/F Selwyn Factory Building 404 Kwun Tong Road Kwun Tong Kowloon T: 2570 5690 F: 2555 7911 Email: info@amano.com.hk,,
Yuet Lai Court,Kwai Tsing,New Territories,22.34826,114.12724,1,1981,1981,Non-Standard,4,704,Lai Wan House Lai Wah House Lai Ha House Lai Hung House,45 - 56,39 - 48,90600 - 122300,Formed,Ha Kwai Chung District Tenancy Management Office Wing C G/F Shek Cheung House Shek Lei (II) Estate Kwai Chung Telephone: 2420 6987 Fax: 2429 9431,Appointed by Owners' Corporation,Amano Parking Service Limited Address: Rm. E 6/F Selwyn Factory Building 404 Kwun Tong Road Kwun Tong Kowloon T: 2570 5690 F: 2555 7911 Email: info@amano.com.hk,,
Choi Fung Court,Wong Tai Sin,Kowloon,22.33492,114.21306,18A,1997,1997,Harmony,1,608,A,53 - 80,39 - 60,760600 - 1524700,Formed,Choi Wan (1) Estate Tenancy Management Office Unit 108-115 G/F Boon Yuet House Choi Wan Estate Telephone: 2750 7211 Fax: 2750 8477,Appointed by Owners' Corporation,Amano Parking Service Limited Rm. E 6/F Selwyn Factory Building 404 Kwun Tong Road Kwun Tong Kowloon Telephone: 2570 5690 Fax: 2555 7911 Email: info@amano.com.hk.,,Barrier-Free Access (BFA) Facilities
